,name,carbohydrate,total_fat,calories,protein,
0,"Almidon de maiz",91.27 g,0.1g,381,0.26 g,
1,"Nueces pecanas",13.86 g,72g,691,9.17 g,
2,"Berenjena",5.88 g,0.2g,25,0.98 g,
3,"Semillas Teff",73.13 g,2.4g,367,13.30 g,
4,"Sherbet, orange",30.40 g,2g,144,1.10 g,
5,"Coliflor",4.97 g,0.3g,25,1.92 g,
6,"Taro",6.70 g,0.7g,42,4.98 g,
7,"Cordero",0.00 g,23g,282,16.56 g,
8,"Queso camembert",0.46 g,24g,300,19.80 g,
9,"Filetes vegetarianos",9.00 g,18g,290,23.00 g,
10,"Salsa picante",6.25 g,0g,25,0.00 g,
11,"Bayas de Goji secas",77.06 g,0.4g,349,14.26 g,
12,"Nectar de mango",13.12 g,0.1g,51,0.11 g,
13,"Galletas",72.30 g,7.2g,407,13.50 g,
14,"Pollo hervido",0.20 g,15g,215,19.40 g,
15,"Carne de codorniz",0.00 g,4.5g,134,21.76 g,
16,"Pie",42.60 g,16g,316,3.00 g,
17,"Pimientos",6.50 g,0.4g,29,0.91 g,
18,"Frijoles caseros",28.10 g,0.9g,148,11.60 g,
19,"Salami",1.55 g,9.2g,172,19.20 g,
20,"Uvas",13.93 g,0.5g,57,0.81 g,
21,"Nueces de Ginkgo",37.60 g,1.7g,182,4.32 g,
22,"Calabaza",10.42 g,0.1g,40,0.80 g,
23,"Salchicha de puerco",2.95 g,26g,301,14.03 g,
24,"Queso crema",8.13 g,15g,201,7.85 g,
25,"Jamon ahumado",7.27 g,2.4g,122,17.93 g,
26,"Jarabe de maple",67.38 g,0g,270,0.00 g,
27,"Nabos",2.94 g,0.2g,16,1.04 g,
28,"Frijoles en lata",21.63 g,5.2g,155,5.54 g,
29,"Pinon",13.08 g,68g,673,13.69 g,
30,"Pasta",74.67 g,1.5g,371,13.04 g,
31,"Carambola",6.73 g,0.3g,31,1.04 g,
33,"Zanahorias",7.90 g,0.5g,36,0.78 g,
33,"Brocoli",4.67 g,0.8g,30,1.20 g,
34,"Caqui",73.43 g,0.6g,274,1.38 g,
35,"Miel de agave",16.23 g,0.2g,68,0.52 g,
36,"Fideos",71.27 g,4.4g,384,14.16 g,
37,"Hayucos",33.50 g,50g,576,6.20 g,
38,"Grosellas",74.08 g,0.3 g,283,4.08 g,
39,"Lentejas",22.14 g,0.6 g,106,8.96 g,
40,"Salsa de cebolla",67.64 g,3g,322,9.00 g,
41,"Tarta de frutas",42.60 g,16g,316,3.00 g,
42,"Palomitas de maiz",80.10 g,3.1g,384,9.70 g,
43,"Barra de frutos rojos",58.84 g,11g,383,13.16 g,
44,"Pescado sargo",0.00 g,2.4g,108,20.21 g,
45,"Jugo de pera",11.86 g,0g,47,0.00 g,
46,"Coles de Bruselas",8.95 g,0.3g,43,3.38 g,
47,"Ternera",3.12 g,0.5g,33,3.83 g,
48,"Aceite de mantequilla",0.00 g,99g,876,0.28 g,
49,"Achicoria",4.00 g,0.1g,17,0.90 g,
50,"Queso de cabra",87.70 g,5.3g,424,6.50 g,
51,"Pure de papa",87.70 g,5.3g,424,6.50 g,
52,"Pescado Jurel",5.06 g,0.4g,28,2.98 g,
53,"Durian",27.09 g,5.3g,147,1.47 g,
54,"Jitomate rojo",3.18 g,0.2g,16,1.16 g,
55,"Jitomate amarillo",2.98 g,0.3g,15,0.98 g,
56,"Natilla de huevo",82.80 g,6.4g,410,6.90 g,
57,"Mantequilla de mani",31.27 g,22g,428,33.80 g,
58,"Pescado ahumado abadejo",0.00 g,1g,116,25.23 g,
59,"Papas en gajo",35.20 g,14g,282,3.41 g,
60,"Pavo",0.00 g,10g,203,27.37 g,
61,"Papilla de durazno",72.90 g,17g,461,4.00 g,
62,"Papa hervida",39.73 g,14g,301,3.73 g,
63,"Pan tostado",55.77 g,4.3g,313,12.96 g,
64,"Queso danes",37.20 g,22g,374,8.00 g,
65,"Nueces de la India",47.59 g,36g,500,8.28 g,
66,"Salchicha de ternera",72.73 g,0.7g,331,16.55 g,
67,"Aceite de Oliva",0.00 g,100g,763,0.00 g,
68,"Yema de huevo",3.59 g,27g,322,15.86 g,
69,"Miel de abeja",19.22 g,2.8g,103,4.71 g,
70,"Carne de res",0.36 g,5.8g,147,21.80 g,
71,"Salchichas de Frankfurt",7.70 g,14g,233,19.61 g,
72,"Fiambre",0.00 g,0.7g,102,22.25 g,
73,"Espinaca",0.00 g,1.5g,108,22.22 g,
74,"Guiso de maíz",28.20 g,11g,216,3.80 g,
75,"Tortita de papa",53.30 g,34g,522,6.70 g,
76,"Frutos secos",7.00 g,0.2g,36,1.50 g,
77,"Higos",63.87 g,0.9g,249,3.30 g,
78,"Carne de caballo",0.00 g,4.6g,133,21.39 g,
79,"Arroz",65.10 g,0g,261,0.00 g,
80,"Champinones",5.24 g,0.4g,28,2.98 g,
81,"Crema de zanahoria",4.63 g,19g,198,2.44 g,
82,"Gravy",2.50 g,0.2g,16,1.20 g,
83,"Mejillón",30.28 g,10g,264,12.92 g,
84,"Queso port salut",0.57 g,28g,352,23.78 g,
85,"Crema de arroz",6.67 g,6.7g,100,0.00 g,
86,"Bellotas",20.00 g,6.7g,133,0.00 g,
87,"Sopa de cebolla",65.07 g,0.3g,293,7.48 g,
88,"Setas",7.81 g,0.3g,37,2.66 g,
89,"Tocino",0.80 g,44g,517,29.10 g,
90,"Pepperoni",1.20 g,37g,425,21.70 g,
91,"Galletas saladas",69.55 g,14g,427,10.58 g,
92,"Mani",15.83 g,50g,570,26.15 g,
93,"Elote",14.26 g,0.9g,72,1.48 g,
94,"Carne de bufalo",0.00 g,0.7g,102,22.24 g,
95,"Pera",14.94 g,0.1g,62,0.33 g,
96,"Pescado de rodaballo",11.29 g,0.7g,48,1.18 g,
97,"Sopa de champinones",0.00 g,8g,146,17.28 g,
98,"Leche entera",0.44 g,10g,172,19.03 g,
99,"Queso blanco",2.28 g,19g,245,16.18 g,
100,"Queso fresco",15.10 g,9.2g,170,6.69 g,
101,"Sopa de tomate",19.46 g,0g,78,0.00 g,
102,"Repollo",81.30 g,0.2g,318,1.80 g,
103,"Sopa de garbanzos",20.12 g,8.6g,177,4.86 g,
104,"Melon",7.56 g,1.3g,44,1.78 g,
105,"Gelatina de leche",28.89 g,14g,254,3.00 g,
106,"Chile serrano",6.70 g,0.4g,32,1.74 g,
107,"Lechuga",2.23 g,0.2g,12,1.10 g,
108,"Chiles en raja",51.42 g,8.2g,281,11.86 g,
109,"Perejil",42.38 g,5.2g,271,31.30 g,
110,"Pimmiento rojo",63.95 g,3.3g,251,10.39 g,
111,"Pimiento naranja",68.61 g,2.1g,296,10.40 g,
112,"Jicama",8.82 g,0.1g,38,0.72 g,
113,"Semillas de girasol",3.98 g,80g,719,10.80 g,
114,"Kiwi",14.66 g,0.5g,61,1.14 g,
115,"Albahaca",8.28 g,1.4g,64,9.40 g,
116,"Arandanos",23.63 g,0.4g,98,1.46 g,
117,"Name",90.40 g,3.3g,391,0.03 g,
118,"Coco",2.16 g,0.2g,12,0.59 g,
119,"Pasas",9.20 g,0.7g,45,2.70 g,
120,"Sandia",9.09 g,0.1g,36,0.54 g,
121,"Ensalada de papa con huevo",16.18 g,9.4g,157,1.96 g,
122,"Champinones",3.26 g,0.3g,22,3.09 g,
123,"Setas",5.10 g,0.6g,31,3.12 g,
124,"Queso Oaxaca",1.75 g,29g,358,23.54 g,
125,"Naranja",11.54 g,0.2g,46,0.70 g,
126,"Leche light",4.12 g,1.4g,41,2.47 g,
127,"Papaya",14.51 g,0.2g,57,0.17 g,
128,"Calabazitas",5.54 g,0.4g,34,4.55 g,
129,"Yogurt de durazno",18.82 g,1.2g,94,2.35 g,
130,"Yorgurt de fresa",9.69 g,1.8g,66,2.64 g,
131,"Salsa picante",8.33 g,0g,40,1.67 g,
132,"Pepino",20.42 g,0.9g,185,23.88 g,
133,"Almendras",5.10 g,0.2g,23,1.20 g,
134,"Moluscos",2.00 g,1.4g,90,16.10 g,
135,"Moras",0.00 g,0.8g,103,22.50 g,
136,"Pasta",74.67 g,1.5g,371,13.04 g,
137,"Aguacate",76.90 g,9.8g,416,5.60 g,
138,"Esparragos",15.60 g,0g,74,3.10 g,
139,"Frijoles negros",75.70 g,13g,445,5.90 g,
140,"Pollo asado",2.74 g,16g,223,15.51 g,
141,"Jamon",0.26 g,19g,239,16.06 g,
142,"Col rizada",63.94 g,7.4g,276,9.11 g,
143,"Jugo de zanahoria",9.28 g,0.2g,40,0.95 g,
144,"Fresas",74.93 g,5.2g,386,9.88 g,
145,"Pate",6.30 g,29g,327,11.20 g,
146,"Manzana",42.47 g,0.3g,173,0.39 g,
147,"Maracuya",14.89 g,9.9g,153,0.95 g,
148,"Salmon",1.90 g,22g,261,12.60 g,
149,"Tofu",49.70 g,14g,282,13.46 g,
150,"Acelgas",49.90 g,15g,333,19.77 g,
151,"Ciruelas",47.75 g,4.1g,233,22.98 g,
152,"Pepinillos",35.06 g,0.5g,130,0.37 g,
153,"Datiles",64.29 g,3.5g,311,21.20 g,
154,"Algas marinas",0.00 g,15g,195,13.41 g,
155,"Uva pasa",67.60 g,20g,482,7.10 g,
156,"Avellanas",50.50 g,32g,475,6.71 g,
157,"Jengibre",79.12 g,1g,341,10.41 g,
158,"Lentejas rojas",0.06 g,81g,717,0.85 g,
159,"Mamey",24.01 g,0.2g,108,1.79 g,
160,"Sopa de chicharos",74.52 g,1.6g,345,10.50 g,
161,"Remolacha",6.73 g,0g,27,1.28 g,
162,"Pan de ajo",41.72 g,17g,350,8.36 g,
163,"Jugo de espinaca",21.18 g,22g,351,17.67 g,
164,"Jugo de naranja",13.17 g,7.1g,120,0.79 g,
165,"Rolls, sweet, dinner",53.58 g,7.4g,321,10.04 g,
166,"Cerezas",16.01 g,0.2g,63,1.06 g,
167,"Camarones",0.00 g,8.7g,165,20.22 g,
168,"Leche deslactosada",10.29 g,1.4g,62,2.06 g,
169,"Platano",58.40 g,34g,519,2.30 g,
170,"Mandarina",9.54 g,0.3g,39,0.91 g,
171,"Tomate cherry",46.00 g,6.3g,273,8.60 g,
172,"Alcachofa",63.39 g,30g,530,3.94 g,
173,"Pollo rostizado",0.04 g,8.1g,143,17.44 g,
174,"Puerro",15.01 g,0.2g,63,0.39 g,
175,"Habas",66.30 g,0.1g,254,0.20 g,
176,"Pechuga de pollo",78.00 g,3.7g,375,7.30 g,
177,"Betabel",9.14 g,0.6g,45,3.03 g,
178,"Tuna",80.88 g,0.3g,306,6.21 g,
179,"Pan con ajonjoli",49.50 g,3.9g,260,8.70 g,
180,"Avena",4.02 g,0.3g,23,2.46 g,
181,"Lomo de cerdo",77.72 g,1.2g,352,9.91 g,
182,"Semillas de chia",1.63 g,29g,326,14.10 g,
183,"Chayote",55.83 g,14g,325,14.29 g,
184,"Pan integral",28.60 g,26g,476,32.00 g,
185,"Huevos",72.83 g,1.1g,360,12.68 g,
186,"Cereal de maiz",11.71 g,2g,69,4.27 g,
187,"Pasta integral",60.73 g,13g,315,10.63 g,
188,"Sopa de verduras",12.50 g,0g,50,0.00 g,
189,"Granada",26.59 g,9g,197,2.49 g,
190,"Pistaches",41.05 g,22g,385,5.29 g,
191,"Ostras",0.00 g,3.7g,125,21.55 g,
192,"Guayaba",0.00 g,100g,884,0.00 g,
193,"Semillas de calabaza",3.28 g,0.1g,15,1.03 g,
194,"Membrillo",63.70 g,2.1g,319,11.30 g,
195,"Verdolaga",78.60 g,2.1g,391,12.30 g,
196,"Fruta de dragon",13.02 g,0.3g,55,1.52 g,
197,"Sopa de spaghetti",10.10 g,0.2g,43,0.50 g,
198,"Sopa de letras",11.05 g,6.8g,147,12.95 g,
199,"Sopa de tornillo",6.90 g,8.1g,151,12.50 g,
200,"Camote",0.00 g,8.3g,161,20.10 g,

